CH, Rate, R403422c8, dtmx_tuning_cbit, pa_input1_cbit, pa_input2_cbit
122,12,2 7,0x133F4C72,8,3,0
122,13,2 7,0x133F4C80,8,3,0
122,14,2 7,0x133F4C90,8,3,0
122,15,2 7,0x133F4CA2,8,3,0
122,16,2 7,0x133F4CB5,8,3,0
122,17,2 7,0x133F4CCC,8,3,0
122,18,2 7,0x1A3F4DB5,8,3,0
122,19,2 7,0x1A3F4DCB,8,3,0
122,20,2 7,0x193F4EB7,8,3,0
122,21,2 7,0x193F4ECD,8,3,0
122,22,2 7,0x193F4EE6,8,3,0
122,23,2 7,0x193F4EE8,8,3,0
122,24,2 7,0x193F4EE8,8,3,0
122,0,2 0,0x053F6764,9,3,0
122,1,2 0,0x053F6771,9,3,0
122,2,2 0,0x053F677F,9,3,0
122,3,2 0,0x053F678E,9,3,0
122,4,2 0,0x053F679F,9,3,0
122,5,2 0,0x053F67B3,9,3,0
122,6,2 0,0x0E3F6977,9,3,0
122,7,2 0,0x0E3F6985,9,3,0
122,8,2 0,0x0E3F6996,9,3,0
122,9,2 0,0x0E3F69A8,9,3,0
122,10,2 0,0x0E3F69BD,9,3,0
122,11,2 0,0x0B3F6C63,9,3,0
122,12,2 0,0x0B3F6C6F,9,3,0
122,13,2 0,0x0B3F6C7C,9,3,0
122,14,2 0,0x0B3F6C8B,9,3,0
122,15,2 0,0x0B3F6C9C,9,3,0
122,16,2 0,0x0B3F6CAF,9,3,0
122,17,2 0,0x0B3F6CC5,9,3,0
122,18,2 0,0x123F6DAF,9,3,0
122,19,2 0,0x123F6DC4,9,3,0
122,20,2 0,0x193F6EB5,9,3,0
122,21,2 0,0x183F2FA4,9,3,0
122,22,2 0,0x183F2FB8,9,3,0
122,23,2 0,0x183F2FCE,9,3,0
122,24,2 0,0x183F2FE8,9,3,0
138,0,2 7,0x053F4764,7,2,0
138,1,2 7,0x053F4771,7,2,0
138,2,2 7,0x053F477F,7,2,0
138,3,2 7,0x053F478E,7,2,0
138,4,2 7,0x053F479F,7,2,0
138,5,2 7,0x053F47B3,7,2,0
138,6,2 7,0x0E3F4977,7,2,0
138,7,2 7,0x0E3F4985,7,2,0
138,8,2 7,0x0E3F4995,7,2,0
138,9,2 7,0x0E3F49A8,7,2,0
138,10,2 7,0x0E3F49BC,7,2,0
138,11,2 7,0x133F4C66,7,2,0
138,12,2 7,0x133F4C72,7,2,0
138,13,2 7,0x133F4C80,7,2,0
138,14,2 7,0x133F4C90,7,2,0
138,15,2 7,0x133F4CA2,7,2,0
138,16,2 7,0x133F4CB5,7,2,0
138,17,2 7,0x133F4CCC,7,2,0
138,18,2 7,0x1A3F4DB4,7,2,0
138,19,2 7,0x1A3F4DCA,7,2,0
138,20,2 7,0x193F4EB7,7,2,0
138,21,2 7,0x193F4ECE,7,2,0
138,22,2 7,0x193F4EE7,7,2,0
138,23,2 7,0x193F4EE8,7,2,0
138,24,2 7,0x193F4EE8,7,2,0
138,0,2 0,0x053F6764,7,2,0
138,1,2 0,0x053F6770,7,2,0
138,2,2 0,0x053F677D,7,2,0
138,3,2 0,0x053F678D,7,2,0
138,4,2 0,0x053F679E,7,2,0
138,5,2 0,0x053F67B1,7,2,0
138,6,2 0,0x0E3F6976,7,2,0
138,7,2 0,0x0E3F6985,7,2,0
138,8,2 0,0x0E3F6995,7,2,0
138,9,2 0,0x0E3F69A7,7,2,0
138,10,2 0,0x0E3F69BB,7,2,0
138,11,2 0,0x0B3F6C63,7,2,0
138,12,2 0,0x0B3F6C6F,7,2,0
138,13,2 0,0x0B3F6C7D,7,2,0
138,14,2 0,0x0B3F6C8C,7,2,0
138,15,2 0,0x0B3F6C9D,7,2,0
138,16,2 0,0x0B3F6CB0,7,2,0
138,17,2 0,0x0B3F6CC6,7,2,0
138,18,2 0,0x123F6DB1,7,2,0
138,19,2 0,0x123F6DC6,7,2,0
138,20,2 0,0x193F6EB5,7,2,0
138,21,2 0,0x183F2F9F,7,2,0
138,22,2 0,0x183F2FB3,7,2,0
138,23,2 0,0x183F2FC9,7,2,0
138,24,2 0,0x183F2FE1,7,2,0
155,0,2 7,0x053F4763,7,0,0
155,1,2 7,0x053F4770,7,0,0
155,2,2 7,0x053F477D,7,0,0
155,3,2 7,0x053F478D,7,0,0
155,4,2 7,0x053F479F,7,0,0
155,5,2 7,0x053F47B1,7,0,0
155,6,2 7,0x053F47C7,7,0,0
155,7,2 7,0x0E3F498D,7,0,0
155,8,2 7,0x0E3F499F,7,0,0
155,9,2 7,0x0E3F49B2,7,0,0
155,10,2 7,0x0E3F49C8,7,0,0
155,11,2 7,0x133F4C6C,7,0,0
155,12,2 7,0x133F4C79,7,0,0
155,13,2 7,0x133F4C88,7,0,0
155,14,2 7,0x133F4C99,7,0,0
155,15,2 7,0x133F4CAB,7,0,0
155,16,2 7,0x133F4CC0,7,0,0
155,17,2 7,0x1A3F4DAB,7,0,0
155,18,2 7,0x1A3F4DBF,7,0,0
155,19,2 7,0x193F4EAC,7,0,0
155,20,2 7,0x193F4EC1,7,0,0
155,21,2 7,0x193F4ED9,7,0,0
155,22,2 7,0x193F4EE8,7,0,0
155,23,2 7,0x193F4EE8,7,0,0
155,24,2 7,0x193F4EE8,7,0,0
155,0,2 0,0x053F6763,7,0,0
155,1,2 0,0x053F6770,7,0,0
155,2,2 0,0x053F677D,7,0,0
155,3,2 0,0x053F678D,7,0,0
155,4,2 0,0x053F679F,7,0,0
155,5,2 0,0x053F67B1,7,0,0
155,6,2 0,0x053F67C7,7,0,0
155,7,2 0,0x0E3F698D,7,0,0
155,8,2 0,0x0E3F699E,7,0,0
155,9,2 0,0x0E3F69B1,7,0,0
155,10,2 0,0x0E3F69C7,7,0,0
155,11,2 0,0x0B3F6C6A,7,0,0
155,12,2 0,0x0B3F6C77,7,0,0
155,13,2 0,0x0B3F6C85,7,0,0
155,14,2 0,0x0B3F6C95,7,0,0
155,15,2 0,0x0B3F6CA8,7,0,0
155,16,2 0,0x0B3F6CBC,7,0,0
155,17,2 0,0x123F6DA7,7,0,0
155,18,2 0,0x123F6DBC,7,0,0
155,19,2 0,0x193F6EAB,7,0,0
155,20,2 0,0x183F2F94,7,0,0
155,21,2 0,0x183F2FA6,7,0,0
155,22,2 0,0x183F2FBA,7,0,0
155,23,2 0,0x183F2FD1,7,0,0
155,24,2 0,0x183F2FD1,7,0,0
