ATTENTION: regname in Table must be the same as those in LABVIEW  testmode: 1->N 2->P 3->DIFF,,,,,,,,,,,,
Function,SUB-TOP,BLOCK,msadc_mux_regname,msadc_mux_regvalue,test_enable_regname,test_enable_regvalue,test_mode_regname,test_mode_regvalue,test_bits_regname,test_bits_regvalue,test_case,
tia_i_op,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b101,WF_RX_ON,
tia_q_ip,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b110,WF_RX_ON,
tia_i_ip,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b111,WF_RX_ON,
tia_iref_ldo,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b10,WF_RX_ON,
tia_iref,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b11,WF_RX_ON,
tia_q_on,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b100,WF_RX_ON,
tia_i_on,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b101,WF_RX_ON,
tia_q_in,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b110,WF_RX_ON,
tia_i_in,aic8817_wf_trx,tia_8817_a0,,,wf_test_enable_tia,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b111,WF_RX_ON,
xtal_ib_core_lp,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,,
xtal_dvdd_core,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,,
xtal_dvdd_core_lv,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,,rtc_rg_cm_xtal_reg_lv_mode=1
xtal_dvdd_clk,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b11,,
xtal_vb_ib,aic8817_cm,xtal_8817_a0,,,cm_test_enable_xtal,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b0,,
,,,,,,,,,,,,
cp_out0,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b11,MDLL_ON,
cp_out1,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,MDLL_ON,
avdd_logic,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,MDLL_ON,
avdd_sw_mdll,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b0,MDLL_ON,
cp_out0-cp_out1,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,2'b11,MDLL_ON,
cp_out1-cp_out0,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,2'b10,MDLL_ON,
avdd_clkbuf,aic8817_cm,mdll_dual_edge_208m_8817,,,cm_test_enable_mdll,1'b1,cfg_ana_test_mode,2'b1,cfg_ana_test_bit,2'b1,MDLL_ON,
vctrl_biasp,aic8817_wf_lo,vco_10g_a4,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b11,PLL_ON,
vctrl_biasn,aic8817_wf_lo,vco_10g_a4,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b10,PLL_ON,
reg_vco,aic8817_wf_lo,vco_10g_a4,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b1,PLL_ON,
reg_buf,aic8817_wf_lo,vco_10g_a4,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,2'b0,PLL_ON,
vctrl_biasp-vctrl_biasn,aic8817_wf_lo,vco_10g_a4,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,2'b11,PLL_ON,
vctrl_biasn-vctrl_biasp,aic8817_wf_lo,vco_10g_a4,,,wf_test_enable_vco,1'b1,cfg_ana_test_mode,2'b11,cfg_ana_test_bit,2'b10,PLL_ON,
dvdd,aic8817_io,bbpll_480m_8817,,,test_enable_bbpll,1'b1,cfg_ana_io_test_mode,2'b10,cfg_ana_io_test_bit,2'b11,,
avdd_vco,aic8817_io,bbpll_480m_8817,,,test_enable_bbpll,1'b1,cfg_ana_io_test_mode,2'b10,cfg_ana_io_test_bit,2'b10,,
lpf_c,aic8817_io,bbpll_480m_8817,,,test_enable_bbpll,1'b1,cfg_ana_io_test_mode,2'b10,cfg_ana_io_test_bit,2'b1,,
vref_rst_h,aic8817_io,bbpll_480m_8817,,,test_enable_bbpll,1'b1,cfg_ana_io_test_mode,2'b1,cfg_ana_io_test_bit,2'b11,,
vref_rst_l,aic8817_io,bbpll_480m_8817,,,test_enable_bbpll,1'b1,cfg_ana_io_test_mode,2'b1,cfg_ana_io_test_bit,2'b10,,
,,,,,,,,,,,,
dvdd,WF,rfpll,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF_PLL_ON,
avdd_pdt,WF,rfpll,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF_PLL_ON,
cp_outn,WF,rfpll,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b100,WF_PLL_ON,
cp_outp,WF,rfpll,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b101,WF_PLL_ON,
avdd_presc,WF,rfpll,pmu_msadc_pu_cpus,1'b1,wf_test_enable_rfpll,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b110,WF_PLL_ON,
refh,IO,usb,pmu_msadc_pu_cpus,1'b1,cfg_ana_test_enable_usb,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_io_test_bit,4'b0100,USB_ON,
refl,IO,usb,pmu_msadc_pu_cpus,1'b1,cfg_ana_test_enable_usb,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_io_test_bit,4'b0101,USB_ON,
,,,,,,,,,,,,
vref_lo,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b111,WF_TX_ON,
dvdd_sw,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b110,WF_TX_ON,
avss,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b101,WF_TX_ON,
avdd_lo,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b100,WF_TX_ON,
vb_cscd_sense,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF_TX_ON,
vb_sense,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF_TX_ON,
vtst<3>,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b111,WF_TX_ON,
Vtst<2>,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b110,WF_TX_ON,
Vtst<1>,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b101,WF_TX_ON,
Vtst<0>,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b100,WF_TX_ON,
vh_div3_sense,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b011,WF_TX_ON,
vh_div2_sense,aic8817_wf_trx,dtmx,,,wf_test_enable_dtmx,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF_TX_ON,
vlp2testmux,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b111,WF_TX_ON,
vlp2testmux,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b110,WF_TX_ON,
vsw,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b101,WF_TX_ON,
avss_pabias,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b100,WF_TX_ON,
avss_pabias,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF_TX_ON,
vh_div3_sense,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF_TX_ON,
vm_div3_sense,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF_TX_ON,
isense_outp,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF_TX_ON,
vln2testmux,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b111,WF_TX_ON,
vln2testmux,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b110,WF_TX_ON,
bg_v1v,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b101,WF_TX_ON,
vreg13_sense,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b100,WF_TX_ON,
tsout<2>,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b011,WF_TX_ON,
tsout<1>,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF_TX_ON,
tsout<0>,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF_TX_ON,
isense_outn,aic8817_wf_trx,pa,,,wf_test_enable_pa,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF_TX_ON,
,,,,,,,,,,,,
adc_vrefg,WF,ADC,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF_RX_ON,
adc_vcm,WF,ADC,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF_RX_ON,
adc_vref,WF,ADC,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF_RX_ON,
adc_dvdd,WF,ADC,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF_RX_ON,
adc_vgs,WF,ADC,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF_RX_ON,
,,,,,,,,,,,,
rxflt_i_vop1,WF,rxflt,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b011,WF_RX_ON,
rxflt_i_von1,WF,rxflt,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b011,WF_RX_ON,
rxflt_q_vop1,WF,rxflt,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b010,WF_RX_ON,
rxflt_q_von1,WF,rxflt,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b010,WF_RX_ON,
rxflt_i_vop2,WF,rxflt,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b001,WF_RX_ON,
rxflt_i_von2,WF,rxflt,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b001,WF_RX_ON,
rxflt_q_vop2,WF,rxflt,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b10,cfg_ana_test_bit,3'b000,WF_RX_ON,
rxflt_q_von2,WF,rxflt,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b000,WF_RX_ON,
rxflt_vcmref,WF,rxflt,,,wf_test_enable_adc,1'b1,cfg_ana_test_mode,2'b01,cfg_ana_test_bit,3'b111,WF_RX_ON,
